actor_name,actor_dob,actor_gender,actor_ethnicity_label,actor_height,actor_age_at_release,freebase_movie_id,character_name
Mos Def,1973-12-11 00:00:00,M,African Americans,1.77,35.0,/m/03h28mg,Eric
Shawn Michael Howard,1969-07-31 00:00:00,M,African Americans,1.77,39.0,/m/03h28mg,Derrick
Emilio Rivera,1961-02-24 00:00:00,M,Mexican Americans,1.8,47.0,/m/03h28mg,Bodega
Al Franken,1951-05-21 00:00:00,M,Jewish people,1.676,43.0,/m/05qss9,Stuart Smalley
Charlie Sheen,1965-09-03 00:00:00,M,Spanish Americans,1.75,27.0,/m/04_rjv,Lt. Sean Topper Harley
Martin Sheen,1940-08-03 00:00:00,M,Spanish Americans,1.7,52.0,/m/04_rjv,Captain Benjamin L. Willard
Mel Gibson,1956-01-03 00:00:00,M,Australian Americans,1.77,34.0,/m/0prhz,Prince Hamlet
Glenn Close,1947-03-19 00:00:00,F,White Americans,1.65,43.0,/m/0prhz,Gertrude
Helena Bonham Carter,1966-05-26 00:00:00,F,English people,1.6,24.0,/m/0prhz,Ophelia
Ian Holm,1931-09-12 00:00:00,M,English people,1.651,59.0,/m/0prhz,Polonius
Stephen Dillane,1956-11-30 00:00:00,M,English people,1.83,34.0,/m/0prhz,Horatio
Pete Postlethwaite,1946-02-07 00:00:00,M,English people,1.75,44.0,/m/0prhz,Player King
Sean Connery,1930-08-25 00:00:00,M,Scottish people,1.89,43.0,/m/0138wn,Zed
Charlotte Rampling,1946-02-05 00:00:00,F,English people,1.7,28.0,/m/0138wn,Consuella
Alan Alda,1936-01-28 00:00:00,M,Irish Americans,1.88,60.0,/m/0blpg,Bob Dandridge
Drew Barrymore,1975-02-22 00:00:00,F,Irish Americans,1.63,21.0,/m/0blpg,Skylar Dandridge
Natalie Portman,1981-06-09 00:00:00,F,Israeli Americans,1.6,15.0,/m/0blpg,Laura Dandridge
Goldie Hawn,1945-11-21 00:00:00,F,Hungarian Americans,1.68,51.0,/m/0blpg,Steffi Dandridge
Julia Roberts,1967-10-28 00:00:00,F,English Americans,1.75,29.0,/m/0blpg,Von Sidell
Woody Allen,1935-12-01 00:00:00,M,Jewish people,1.65,61.0,/m/0blpg,Joe Berlin
Tim Roth,1961-05-14 00:00:00,M,English people,1.7,35.0,/m/0blpg,Charles Ferry
Anne Bancroft,1931-09-17 00:00:00,F,Italian Americans,1.73,30.0,/m/02r7rth,Annie Sullivan
Patty Duke,1946-12-14 00:00:00,F,Irish Americans,1.52,15.0,/m/02r7rth,Helen Keller
Abhishek Bachchan,1976-02-05 00:00:00,M,Indians,1.85,32.0,/m/03y8k5j,Sameer 'Sam' Acharya
Priyanka Chopra,1982-07-18 00:00:00,F,Punjabis,1.71,26.0,/m/03y8k5j,Neha Melwani
John Abraham,1972-12-17 00:00:00,M,Parsi,1.85,35.0,/m/03y8k5j,Kunal Chauhan
Shilpa Shetty,1975-06-08 00:00:00,F,Romani people,1.78,33.0,/m/03y8k5j,Item Girl
Boman Irani,1959-12-02 00:00:00,M,Parsi,1.91,48.0,/m/03y8k5j,Murli 'M'
Bobby Deol,1967-01-27 00:00:00,M,Jatt Sikh,1.83,41.0,/m/03y8k5j,Abhimanyu 'Abhi' Singh
Russell Brand,1975-06-04 00:00:00,M,English people,1.85,35.0,/m/0crgr4d,Arthur Bach
Helen Mirren,1945-07-26 00:00:00,F,English people,1.63,65.0,/m/0crgr4d,Hobson
Greta Gerwig,1983-08-04 00:00:00,F,German Americans,1.73,27.0,/m/0crgr4d,Naomi Quinn
Luis Guzmán,1956-08-28 00:00:00,M,Stateside Puerto Ricans,1.71,54.0,/m/0crgr4d,Bitterman
Nick Nolte,1941-02-08 00:00:00,M,Irish people,1.85,70.0,/m/0crgr4d,Burt Johnson
Rene Russo,1954-02-17 00:00:00,F,Italian Americans,1.73,48.0,/m/05pr8b,Anna Herk
Stanley Tucci,1960-11-11 00:00:00,M,Italian Americans,1.721,41.0,/m/05pr8b,Arthur Herk
Tom Sizemore,1961-11-29 00:00:00,M,Welsh people,1.8,40.0,/m/05pr8b,Snake Dupree
Dennis Farina,1944-02-29 00:00:00,M,Italian Americans,1.87,58.0,/m/05pr8b,Henry Desalvo
Janeane Garofalo,1964-09-28 00:00:00,F,Italian Americans,1.55,37.0,/m/05pr8b,Police Officer Monica Romero
Ben Foster,1980-10-29 00:00:00,M,Jewish people,1.75,21.0,/m/05pr8b,Matt Arnold
Zooey Deschanel,1980-01-17 00:00:00,F,Irish Americans,1.66,22.0,/m/05pr8b,Jenny Herk
Omar Epps,1973-07-20 00:00:00,M,African Americans,1.778,28.0,/m/05pr8b,FBI Agent Alan Seitz
Sofía Vergara,1972-07-10 00:00:00,F,Colombians,1.7,29.0,/m/05pr8b,Nina
Whitney Houston,1963-08-09 00:00:00,F,African Americans,1.727,49.0,/m/0h66z__,Emma
Mike Epps,1970-11-18 00:00:00,M,African Americans,1.87,41.0,/m/0h66z__,Satin
Derek Luke,1974-04-24 00:00:00,M,African Americans,1.778,38.0,/m/0h66z__,Stix
Jordin Sparks,1989-12-22 00:00:00,F,African Americans,1.83,22.0,/m/0h66z__,Sparkle Williams
Michael Beach,1963-10-30 00:00:00,M,African Americans,1.75,48.0,/m/0h66z__,Reverend Bryce
Cee-Lo,1974-05-30 00:00:00,M,African Americans,1.69,38.0,/m/0h66z__,Black
Zac Efron,1987-10-18 00:00:00,M,American Jews,1.78,22.0,/m/07k7h19,Charlie St. Cloud
Augustus Prew,1987-09-17 00:00:00,M,English people,1.73,22.0,/m/07k7h19,Alistair Wooley
Donal Logue,1966-02-27 00:00:00,M,Irish Canadians,1.784,44.0,/m/07k7h19,Tink Weatherbee
Kim Basinger,1953-12-08 00:00:00,F,German Americans,1.71,56.0,/m/07k7h19,Claire St. Cloud
Ray Liotta,1954-12-18 00:00:00,M,Italian Americans,1.83,55.0,/m/07k7h19,Florio Ferrente
Dave Franco,1985-06-12 00:00:00,M,American Jews,1.7,25.0,/m/07k7h19,Sully
Mike O'Malley,1966-10-31 00:00:00,M,Irish Americans,1.78,41.0,/m/0288083,Mickey
John Krasinski,1979-10-20 00:00:00,M,Polish Americans,1.91,28.0,/m/0288083,Carter Rutherford
George Clooney,1961-05-06 00:00:00,M,Irish Americans,1.8,46.0,/m/0288083,Dodge Connelly
Renée Zellweger,1969-04-25 00:00:00,F,Sámi people,1.63,38.0,/m/0288083,Lexie Littleton
Jonathan Pryce,1947-06-01 00:00:00,M,Welsh people,1.88,60.0,/m/0288083,CC Frazier
Diego Luna,1979-12-29 00:00:00,M,Mexicans,1.78,24.0,/m/04xnct,Javier Suarez
Romola Garai,1982-08-06 00:00:00,F,British,1.75,21.0,/m/04xnct,Katey Miller
John Slattery,1962-08-13 00:00:00,M,Irish Americans,1.78,41.0,/m/04xnct,Bert Miller
Patrick Swayze,1952-08-18 00:00:00,M,White people,1.78,51.0,/m/04xnct,Dance Class Instructor
Mýa,1979-10-10 00:00:00,F,Italian Americans,1.64,24.0,/m/04xnct,Lola Martinez
Helen Hunt,1963-06-15 00:00:00,F,Jewish people,1.73,37.0,/m/02rtf4,Arlene McKinney
Haley Joel Osment,1988-04-10 00:00:00,M,White Americans,1.626,12.0,/m/02rtf4,Trevor McKinney
Jay Mohr,1970-08-23 00:00:00,M,Scottish Americans,1.753,30.0,/m/02rtf4,Chris Chandler
James Caviezel,1968-09-26 00:00:00,M,Slovak Americans,1.88,32.0,/m/02rtf4,Jerry
Jon Bon Jovi,1962-03-02 00:00:00,M,Italian Americans,1.753,38.0,/m/02rtf4,Ricky McKinney
Nicolas Cage,1964-01-07 00:00:00,M,German Americans,1.83,30.0,/m/08jl3y,Charlie Lang
Bridget Fonda,1964-01-27 00:00:00,F,White Americans,1.68,30.0,/m/08jl3y,Yvonne Biasi
Stanley Tucci,1960-11-11 00:00:00,M,Italian Americans,1.721,33.0,/m/08jl3y,Eddie Biasi
John Cleese,1939-10-27 00:00:00,M,English people,1.96,59.0,/m/0djg6j,Mr. Mersault
Goldie Hawn,1945-11-21 00:00:00,F,Hungarian Americans,1.68,53.0,/m/0djg6j,Nancy Clark
Christina Ricci,1980-02-12 00:00:00,F,Scotch-Irish Americans,1.55,18.0,/m/04h41v,Dede Truitt
Martin Donovan,1957-08-19 00:00:00,M,Irish Americans,1.85,40.0,/m/04h41v,Bill Truitt
Lisa Kudrow,1963-07-30 00:00:00,F,Jewish people,1.73,34.0,/m/04h41v,Lucia DeLury
Johnny Galecki,1975-04-30 00:00:00,M,Irish people,1.65,23.0,/m/04h41v,Jason Bock
Glenn Close,1947-03-19 00:00:00,F,White Americans,1.65,52.0,/m/0bhrx3,Dr. Elaine Keener
Cameron Diaz,1972-08-30 00:00:00,F,Spanish Americans,1.75,27.0,/m/0bhrx3,Carol Faber
Gregory Hines,1946-02-14 00:00:00,M,African Americans,1.82,53.0,/m/0bhrx3,Robert
Divya Bharti,1974-02-25 00:00:00,F,Indians,1.63,18.0,/m/05d4wt,Kaajal
Shahrukh Khan,1965-11-02 00:00:00,M,Pashtuns,1.73,26.0,/m/05d4wt,Raja Sahai
Veronica Cartwright,1949-04-20 00:00:00,F,English people,1.651,58.0,/m/026hh0m,Wendy Lenk
Nicole Kidman,1967-06-20 00:00:00,F,Irish people,1.791,40.0,/m/026hh0m,Carol Bennell
Jeremy Northam,1961-12-01 00:00:00,M,English people,1.88,45.0,/m/026hh0m,Tucker Kaufman
Jeffrey Wright,1965-12-07 00:00:00,M,African Americans,1.8,41.0,/m/026hh0m,Dr. Galeano
Malin Akerman,1978-05-12 00:00:00,F,Swedish Canadians,1.708,29.0,/m/026hh0m,Autumn
Dianne Wiest,1948-03-28 00:00:00,F,Scottish Americans,1.638,50.0,/m/0m9tw,Aunt Bridget 'Jet' Owens
Evan Rachel Wood,1987-09-07 00:00:00,F,French Americans,1.68,11.0,/m/0m9tw,Kylie Owens
Nicole Kidman,1967-06-20 00:00:00,F,Irish people,1.791,31.0,/m/0m9tw,Gillian Owens
Mark Feuerstein,1971-06-08 00:00:00,M,Jewish people,1.727,27.0,/m/0m9tw,Michael
Goran Višnjić,1972-09-09 00:00:00,M,Croats,1.93,26.0,/m/0m9tw,Jimmy Angelov
Rupert Everett,1959-05-29 00:00:00,M,English people,1.93,44.0,/m/02754g1,Leo Cauffield
Sharon Stone,1958-03-10 00:00:00,F,Irish Americans,1.74,46.0,/m/02754g1,Sally Tyler Cauffield
Dane Cook,1972-03-18 00:00:00,M,White Americans,1.83,34.0,/m/0gf18g,Zack Bradley
Dave Colon,1955-04-05 00:00:00,M,Hispanic and Latino Americans,1.8,51.0,/m/0gf18g,SuperCenter Employee
Ellen Barkin,1954-04-16 00:00:00,F,Russian Americans,1.7,37.0,/m/0dpqfg,Amanda Brooks
Jimmy Smits,1955-07-09 00:00:00,M,Stateside Puerto Ricans,1.91,35.0,/m/0dpqfg,Walter Stone
Lorraine Bracco,1954-10-02 00:00:00,F,Italian Americans,1.702,36.0,/m/0dpqfg,Sheila Faxton
Téa Leoni,1966-02-25 00:00:00,F,Italian Americans,1.702,25.0,/m/0dpqfg,Connie the Dream Girl
Robin Tunney,1972-06-19 00:00:00,F,Irish Americans,1.62,25.0,/m/03cs706,Sarah
Paul Newman,1925-01-26 00:00:00,M,Slovak Americans,1.77,57.0,/m/0qmjd,Frank Galvin
Charlotte Rampling,1946-02-05 00:00:00,F,English people,1.7,36.0,/m/0qmjd,Laura Fischer
Salman Khan,1965-12-27 00:00:00,M,Indians,1.73,29.0,/m/05hz_g,Karan Singh
Shahrukh Khan,1965-11-02 00:00:00,M,Pashtuns,1.73,29.0,/m/05hz_g,Arjun Singh
Kajol,1974-08-05 00:00:00,F,Bengali,1.57,20.0,/m/05hz_g,Sonia Saxena
Mamta Kulkarni,1972-04-20 00:00:00,F,Marathi people,1.58,22.0,/m/05hz_g,Bindiya
Johnny Lever,1950-01-07 00:00:00,M,Indians,1.75,45.0,/m/05hz_g,Lenghaiya
Ray Stevenson,1964-05-25 00:00:00,M,British,1.93,40.0,/m/034r25,Dagonet
Clive Owen,1964-10-03 00:00:00,M,English people,1.89,39.0,/m/034r25,Arthur
Ioan Gruffudd,1973-10-06 00:00:00,M,Welsh people,1.797,30.0,/m/034r25,Lancelot
Mads Mikkelsen,1965-11-22 00:00:00,M,Danes,1.83,38.0,/m/034r25,Tristram
Hugh Dancy,1975-06-19 00:00:00,M,English people,1.8,29.0,/m/034r25,Galahad
Ray Winstone,1957-02-19 00:00:00,M,English people,1.78,47.0,/m/034r25,Bors
Keira Knightley,1985-03-26 00:00:00,F,English people,1.7,19.0,/m/034r25,Guinevere
Stephen Dillane,1956-11-30 00:00:00,M,English people,1.83,47.0,/m/034r25,Merlin
Stellan Skarsgård,1951-06-13 00:00:00,M,Swedes,1.905,53.0,/m/034r25,Cerdic
Til Schweiger,1963-12-19 00:00:00,M,Germans,1.778,40.0,/m/034r25,Cynric
Ken Stott,1954-10-19 00:00:00,M,Scottish people,1.702,49.0,/m/034r25,Marius Honorius
Cheech Marin,1946-07-13 00:00:00,M,Hispanic and Latino Americans,1.68,38.0,/m/0kv51z,Corsican Brother
Tommy Chong,1938-05-24 00:00:00,M,Canadian Americans,1.85,46.0,/m/0kv51z,Corsican Brother
Rae Dawn Chong,1961-02-28 00:00:00,F,Black Canadians,1.72,23.0,/m/0kv51z,The Gypsy
Edward James Olmos,1947-02-24 00:00:00,M,Mexican Americans,1.77,45.0,/m/0bz7sb,Montoya Santana
Mel Gibson,1956-01-03 00:00:00,M,Australian Americans,1.77,54.0,/m/04jn6y7,Thomas Craven
Ray Winstone,1957-02-19 00:00:00,M,English people,1.78,52.0,/m/04jn6y7,Darius Jedburgh
Denis O'Hare,1962-01-16 00:00:00,M,Irish Americans,1.73,48.0,/m/04jn6y7,Moore
Colin Farrell,1976-05-31 00:00:00,M,Black Irish,1.8,24.0,/m/07gv6d,Roland Bozz
Cole Hauser,1975-03-22 00:00:00,M,Jewish people,1.854,25.0,/m/07gv6d,Cota
Sylvester Stallone,1946-07-06 00:00:00,M,Italian Americans,1.77,27.0,/m/062nf8,Stanley Rosiello
Henry Winkler,1945-10-30 00:00:00,M,Jewish people,1.68,28.0,/m/062nf8,Butchey Weinstein
Matthew Broderick,1962-03-21 00:00:00,M,Jewish people,1.73,44.0,/m/0kv57c,Steve Finch
Danny DeVito,1944-11-17 00:00:00,M,Italian Americans,1.52,62.0,/m/0kv57c,Buddy Hall
Kal Penn,1977-04-23 00:00:00,M,Gujarati people,1.78,29.0,/m/0kv57c,Amit Sayid - Satellite Computer Tech
Fred Armisen,1966-12-04 00:00:00,M,Venezuelans,1.75,39.0,/m/0kv57c,Gustave
Alia Shawkat,1989-04-18 00:00:00,F,Norwegians,1.66,17.0,/m/0kv57c,Madison Finch
Tia Carrere,1967-01-02 00:00:00,F,Pacific Islander Americans,1.73,24.0,/m/02sk0x,Minako Okeya
Brandon Lee,1965-02-01 00:00:00,M,Chinese Americans,1.83,26.0,/m/02sk0x,Johnny Murata
Javier Bardem,1969-03-01 00:00:00,M,Spaniards,1.83,35.0,/m/04nl83,Ramón Sampedro
Alan Arkin,1934-03-26 00:00:00,M,Jewish people,1.75,51.0,/m/0fmfrn,Dr. Ramón Madera
Gilbert Gottfried,1955-02-28 00:00:00,M,Jewish people,1.65,30.0,/m/0fmfrn,Tony Sandoval
Diane Keaton,1946-01-05 00:00:00,F,Irish Americans,1.69,40.0,/m/027965n,Lenny Magrath
Jessica Lange,1949-04-20 00:00:00,F,White Americans,1.71,37.0,/m/027965n,Margaret Magrath
Sissy Spacek,1949-12-25 00:00:00,F,Czech Americans,1.57,36.0,/m/027965n,Babe Magrath
Wesley Snipes,1962-07-31 00:00:00,M,African Americans,1.753,44.0,/m/02rn4ss,James Dial
Sylvester Stallone,1946-07-06 00:00:00,M,Italian Americans,1.77,48.0,/m/07b1gq,Judge Dredd
Rob Schneider,1963-10-31 00:00:00,M,American Jews,1.7,31.0,/m/07b1gq,Herman 'Fergee' Ferguson
Joan Chen,1961-04-26 00:00:00,F,Chinese Americans,1.63,34.0,/m/07b1gq,Dr. Ilsa Hayden
Max von Sydow,1929-04-10 00:00:00,M,Swedes,1.94,66.0,/m/07b1gq,Chief Justice Fargo
Adrienne Barbeau,1945-06-11 00:00:00,F,Armenians,1.594,50.0,/m/07b1gq,Central
Anthony Michael Hall,1968-04-14 00:00:00,M,Irish Americans,1.88,16.0,/m/032xrj,The Geek
John Cusack,1966-06-28 00:00:00,M,Irish Americans,1.87,17.0,/m/032xrj,Bryce
Jami Gertz,1965-10-28 00:00:00,F,Jewish people,1.651,18.0,/m/032xrj,Robin
Kristen Bell,1980-07-18 00:00:00,F,Irish Americans,1.55,26.0,/m/08bgt3,Mattie
Ian Somerhalder,1978-12-08 00:00:00,M,English Americans,1.77,27.0,/m/08bgt3,Dexter
Kirsten Dunst,1982-04-30 00:00:00,F,German Americans,1.7,28.0,/m/043k1_h,Katie Marks
Frank Langella,1938-01-01 00:00:00,M,Italian Americans,1.93,72.0,/m/043k1_h,Sanford Marks
Kristen Wiig,1973-08-22 00:00:00,F,Irish Americans,1.65,37.0,/m/043k1_h,Lauren Fleck
Liz Stauber,1979-06-27 00:00:00,F,White people,1.67,31.0,/m/043k1_h,Sharon Mccarthy
Tom Hanks,1956-07-09 00:00:00,M,Portuguese Americans,1.83,34.0,/m/0d7svf,Sherman McCoy
Melanie Griffith,1957-08-09 00:00:00,F,Scandinavian Americans,1.76,33.0,/m/0d7svf,Maria Ruskin
Saul Rubinek,1948-07-02 00:00:00,M,Jewish people,1.7,42.0,/m/0d7svf,Jed Kramer
F. Murray Abraham,1939-10-24 00:00:00,M,Italian Americans,1.803,51.0,/m/0d7svf,Abe Weiss
Morgan Freeman,1937-06-01 00:00:00,M,African Americans,1.88,53.0,/m/0d7svf,Judge Leonard White
Kirsten Dunst,1982-04-30 00:00:00,F,German Americans,1.7,8.0,/m/0d7svf,Campbell McCoy
Bill Murray,1950-09-21 00:00:00,M,Irish Americans,1.88,40.0,/m/03sb0b,Bob 'Bobby' Wiley
Richard Dreyfuss,1947-10-29 00:00:00,M,Jewish people,1.65,43.0,/m/03sb0b,Dr. Leo Marvin
Kathryn Erbe,1965-07-05 00:00:00,F,White Americans,1.57,25.0,/m/03sb0b,Anna Marvin
Bernie Mac,1957-10-05 00:00:00,M,African Americans,1.892,34.0,/m/0bksgs,Club Doorman
Marlon Wayans,1972-07-23 00:00:00,M,African Americans,1.842,20.0,/m/0bksgs,Seymour Stewart
Stacey Dash,1966-01-20 00:00:00,F,Mexicans,1.626,26.0,/m/0bksgs,Amber Evans
Matthew Broderick,1962-03-21 00:00:00,M,Jewish people,1.73,34.0,/m/03lrht,Steven M. Kovacs
Jim Carrey,1962-01-17 00:00:00,M,Canadian Americans,1.867,34.0,/m/03lrht,The Cable Guy
Jack Black,1969-08-28 00:00:00,M,Scottish Americans,1.68,26.0,/m/03lrht,Rick
Ben Stiller,1965-11-30 00:00:00,M,Jewish people,1.73,30.0,/m/03lrht,Sam Sweet
Ben Stiller,1965-11-30 00:00:00,M,Jewish people,1.73,30.0,/m/03lrht,Stan Sweet
Janeane Garofalo,1964-09-28 00:00:00,F,Italian Americans,1.55,31.0,/m/03lrht,Medieval Times Waitress
Owen Wilson,1968-11-18 00:00:00,M,Irish Americans,1.8,27.0,/m/03lrht,Robin's Date
David Cross,1964-04-04 00:00:00,M,British Americans,1.75,32.0,/m/03lrht,Sales Manager
Mary Steenburgen,1953-02-08 00:00:00,F,Dutch Americans,1.727,32.0,/m/06_2q4,Ginny Grainger
Walter Matthau,1920-10-01 00:00:00,M,Jewish people,1.892,59.0,/m/06wb5f9,Sorrowful Jones
Tony Curtis,1925-06-03 00:00:00,M,Hungarian Americans,1.75,54.0,/m/06wb5f9,Blackie
Julie Andrews,1935-10-01 00:00:00,F,English people,1.73,44.0,/m/06wb5f9,Amanda
Bob Newhart,1929-09-05 00:00:00,M,German Americans,1.72,50.0,/m/06wb5f9,Regret
Sean Penn,1960-08-17 00:00:00,M,Jewish people,1.77,26.0,/m/04jrlg,Glendon Wasey
Maura Tierney,1965-02-03 00:00:00,F,Irish Americans,1.6,32.0,/m/0309c5,Audrey Reede
Jennifer Tilly,1958-09-16 00:00:00,F,multiracial American,1.69,38.0,/m/0309c5,Samantha Cole
Cary Elwes,1962-10-26 00:00:00,M,Anglo-Irish people,1.83,34.0,/m/0309c5,Jerry
Krista Allen,1971-04-05 00:00:00,F,Irish Americans,1.71,25.0,/m/0309c5,Busty Woman in Elevator
Sara Paxton,1988-04-25 00:00:00,F,American Jews,1.7,8.0,/m/0309c5,Child at Party and School
Jim Carrey,1962-01-17 00:00:00,M,Canadian Americans,1.867,35.0,/m/0309c5,Fletcher Reede
Elizabeth Taylor,1932-02-27 00:00:00,F,Scotch-Irish Americans,1.6,22.0,/m/09s15n,Ruth Wiley
Johnny Depp,1963-06-09 00:00:00,M,German Americans,1.78,48.0,/m/02wwmhc,Paul Kemp
Giovanni Ribisi,1974-12-17 00:00:00,M,Italians,1.7145,36.0,/m/02wwmhc,Moburg
Claire Danes,1979-04-12 00:00:00,F,White people,1.664,19.0,/m/05sjt9,Cosette Tholomyès
Lennie James,1965-10-11 00:00:00,M,Afro Trinidadians and Tobagonians,1.765,32.0,/m/05sjt9,Enjorlas
Liam Neeson,1952-06-07 00:00:00,M,Irish people,1.93,45.0,/m/05sjt9,Jean Valjean
Uma Thurman,1970-04-29 00:00:00,F,Swedish Americans,1.81,28.0,/m/05sjt9,Fantine
Peter Vaughan,1923-04-04 00:00:00,M,English people,1.829,75.0,/m/05sjt9,Bishop Myriel
Roger Moore,1927-10-14 00:00:00,M,English people,1.85,27.0,/m/0gkqds,Paul
Donna Reed,1921-01-27 00:00:00,F,White people,1.7,33.0,/m/0gkqds,Marion Ellswirth/Matine
Elizabeth Taylor,1932-02-27 00:00:00,F,Scotch-Irish Americans,1.6,22.0,/m/0gkqds,Helen Ellswirth
Van Johnson,1916-08-25 00:00:00,M,Dutch Americans,1.85,38.0,/m/0gkqds,Charles Wills
Clint Eastwood,1930-05-31 00:00:00,M,English Americans,1.88,41.0,/m/01r_0s,Harry Callahan
Lindsay Lohan,1986-07-02 00:00:00,F,White people,1.65,17.0,/m/02dxrm,Mary Elizabeth Cep
Glenne Headly,1955-03-13 00:00:00,F,Irish Americans,1.71,48.0,/m/02dxrm,Karen
Megan Fox,1986-05-16 00:00:00,F,Irish Americans,1.63,17.0,/m/02dxrm,Carla
Carol Kane,1952-06-18 00:00:00,F,Jewish people,1.575,51.0,/m/02dxrm,Miss Baggoli
Laurie Holden,1969-12-17 00:00:00,F,Canadian Americans,1.689,36.0,/m/07f_7h,Cybil Bennett
Jodelle Ferland,1994-10-09 00:00:00,F,Canadians in the United Kingdom,1.57,11.0,/m/07f_7h,Sharon
Kim Coates,1959-01-02 00:00:00,M,Canadian Americans,1.88,47.0,/m/07f_7h,Officer Thomas Gucci
Richard Dreyfuss,1947-10-29 00:00:00,M,Jewish people,1.65,45.0,/m/04cqy62,Louie Kurnitz
Michael Douglas,1944-09-25 00:00:00,M,Scotch-Irish Americans,1.78,52.0,/m/02kfzz,Charles Remington
Val Kilmer,1959-12-31 00:00:00,M,Scottish Americans,1.83,36.0,/m/02kfzz,John Henry Patterson
Tom Wilkinson,1948-02-05 00:00:00,M,English people,1.85,48.0,/m/02kfzz,Robert Beaumont
Tom Hanks,1956-07-09 00:00:00,M,Portuguese Americans,1.83,42.0,/m/07024,Captain John H. Miller
Tom Sizemore,1961-11-29 00:00:00,M,Welsh people,1.8,36.0,/m/07024,Technical Sergeant Michael Horvath
Edward Burns,1968-01-29 00:00:00,M,Irish Americans,1.85,30.0,/m/07024,Private First Class Richard Reiben
Adam Goldberg,1970-10-25 00:00:00,M,Jewish people,1.8,27.0,/m/07024,Private Stanley Mellish
Vin Diesel,1967-07-18 00:00:00,M,multiracial American,1.83,31.0,/m/07024,Private Adrian Caparzo
Giovanni Ribisi,1974-12-17 00:00:00,M,Italians,1.7145,23.0,/m/07024,Technician 4th Class Irwin Wade
Matt Damon,1970-10-08 00:00:00,M,Scandinavian Americans,1.78,27.0,/m/07024,Private First Class James Francis Ryan
Paul Giamatti,1967-06-06 00:00:00,M,Irish Americans,1.74,31.0,/m/07024,Sgt. Hill
Dennis Farina,1944-02-29 00:00:00,M,Italian Americans,1.87,54.0,/m/07024,Lt. Col. Anderson
Max Martini,1969-12-11 00:00:00,M,Italian Americans,1.85,28.0,/m/07024,Cpl. Henderson
Stephen Dillane,1956-11-30 00:00:00,M,English people,1.83,48.0,/m/06911k,Harry Vardon
Elias Koteas,1961-03-11 00:00:00,M,Greek Canadians,1.791,44.0,/m/06911k,Arthur Ouimet
Shia LaBeouf,1986-06-11 00:00:00,M,Jewish people,1.759,19.0,/m/06911k,Francis Ouimet
Shia LaBeouf,1986-06-11 00:00:00,M,Jewish people,1.759,23.0,/m/047csmy,Sam Witwicky
Megan Fox,1986-05-16 00:00:00,F,Irish Americans,1.63,23.0,/m/047csmy,Mikaela Banes
Tyrese Gibson,1978-12-30 00:00:00,M,African Americans,1.797,30.0,/m/047csmy,Robert Epps
Peter Cullen,1941-07-28 00:00:00,M,Canadian Americans,1.73,67.0,/m/047csmy,Optimus Prime
Josh Duhamel,1972-11-14 00:00:00,M,French Americans,1.92,36.0,/m/047csmy,Major William Lennox
Tony Todd,1954-12-04 00:00:00,M,African Americans,1.96,54.0,/m/047csmy,Fallen
Kevin Michael Richardson,1964-10-25 00:00:00,M,African Americans,1.83,44.0,/m/047csmy,Prime #2 & Skipjack
Nicolas Cage,1964-01-07 00:00:00,M,German Americans,1.83,30.0,/m/0gp21g,Bill Firpo
Sarah Jessica Parker,1965-03-25 00:00:00,F,Jewish people,1.6,27.0,/m/086m54,Betsy
Nicolas Cage,1964-01-07 00:00:00,M,German Americans,1.83,28.0,/m/086m54,Jack Singer
James Caan,1940-03-26 00:00:00,M,Jewish people,1.76,52.0,/m/086m54,Tommy Korman
Sarah Jessica Parker,1965-03-25 00:00:00,F,Jewish people,1.6,27.0,/m/086m54,Donna
Pat Morita,1932-06-28 00:00:00,M,Japanese Americans,1.6,60.0,/m/086m54,Mahi Mahi
Ben Stein,1944-11-25 00:00:00,M,Jewish people,1.8,47.0,/m/086m54,Walter
John Travolta,1954-02-18 00:00:00,M,Italian Americans,1.83,44.0,/m/02q7fl9,Governor Jack Stanton
Emma Thompson,1959-04-15 00:00:00,F,British,1.71,38.0,/m/02q7fl9,Susan Stanton
Maura Tierney,1965-02-03 00:00:00,F,Irish Americans,1.6,33.0,/m/02q7fl9,Daisy Green
Rob Reiner,1947-03-06 00:00:00,M,Jewish people,1.88,51.0,/m/02q7fl9,Izzy Rosenblatt
Tony Shalhoub,1953-10-09 00:00:00,M,Arab Americans,1.772,44.0,/m/02q7fl9,Eddie Reyes
Bianca Lawson,1979-03-20 00:00:00,F,African Americans,1.62,19.0,/m/02q7fl9,Loretta
Mykelti Williamson,1957-03-04 00:00:00,M,Blackfoot Confederacy,1.867,41.0,/m/02q7fl9,Dewayne Smith
Peter O'Toole,1932-08-02 00:00:00,M,Irish migration to Great Britain,1.91,31.0,/m/026fs38,Henry II of England
Richard Burton,1925-11-10 00:00:00,M,Welsh people,1.78,38.0,/m/026fs38,Thomas Becket
Daniel Day-Lewis,1957-04-29 00:00:00,M,Jewish people,1.87,30.0,/m/0kvgnq,Tomas
Juliette Binoche,1964-03-09 00:00:00,F,French,1.68,23.0,/m/0kvgnq,Tereza
Lena Olin,1955-03-22 00:00:00,F,Swedes,1.778,32.0,/m/0kvgnq,Sabina
Derek de Lint,1950-07-17 00:00:00,M,Dutch,1.88,37.0,/m/0kvgnq,Franz
