wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,box_office_revenue,runtime,languages,countries,genres,imdb_id,averageRating,numVotes,lead_actor_1,lead_actor_2,adjusted_box_office
8219325,/m/026wlxw,get smart,2008-06-19,230685453.0,110.0,"['Russian', 'English']",['United States of America'],"['Romantic comedy', 'Parody', 'Action Comedy', 'Action/Adventure', 'Comedy', 'Action']",tt0425061,6.5,231154.0,Steve Carell,Anne Hathaway,330116748.5116717
1238065,/m/04l3xj,baadasssss!,2004-05-28,365727.0,109.0,['English'],['United States of America'],"['Biography', 'Indie', 'Docudrama', 'Period piece', 'Drama', 'Biographical film']",tt0367790,7.3,5254.0,Mario Van Peebles,Nia Long,573760.1774759886
5329751,/m/0dfy12,a far off place,1993-03-12,12890752.0,107.0,['English'],['United States of America'],"['Family Film', 'Family Drama', 'Drama', 'Adventure', 'Family-Oriented Adventure']",tt0106868,6.5,3865.0,Reese Witherspoon,Ethan Embry,26120816.86899078
20629940,/m/051zpx6,not easily broken,2009-01-09,10708890.0,100.0,['English'],['United States of America'],"['Tragedy', 'Drama', 'Comedy', 'Film adaptation', 'Romantic drama', 'Romance Film']",tt0795438,6.1,3276.0,Morris Chestnut,Taraji P. Henson,15068528.876847608
1481638,/m/054xvf,saturn 3,1980-02-15,9000000.0,95.0,['English'],"['United States of America', 'United Kingdom']","['Thriller', 'Science Fiction', 'Horror', 'Adventure']",tt0079285,5.1,10786.0,Farrah Fawcett,Kirk Douglas,34322272.5122821
3158499,/m/08w51z,juice,1992-01-17,20146880.0,94.0,['English'],['United States of America'],"['Crime Fiction', 'Thriller', 'Horror', 'Action/Adventure', 'Drama', 'Crime Thriller', 'Action']",tt0104573,7.0,31130.0,Omar Epps,Tupac Shakur,42171264.38700113
1853602,/m/0614yq,troll,1986-01-17,5450815.0,82.0,['English'],"['United States of America', 'Italy']","['Horror', 'Family Film', 'Fantasy', 'Adventure', 'Mystery']",tt0092115,4.6,12066.0,Michael Moriarty,Shelley Hack,14800668.354339192
2292864,/m/071fr7,jury duty,1995-04-12,17014653.0,88.0,['English'],['United States of America'],"['Comedy', 'Slapstick']",tt0113500,4.3,8921.0,Pauly Shore,Tia Carrere,32561264.20350873
14291637,/m/03c_lhp,fool's gold,2008-02-07,111231041.0,112.0,['English'],['United States of America'],"['Romantic comedy', 'Adventure', 'Action/Adventure', 'Comedy', 'Romance Film', 'Action']",tt0770752,5.7,85933.0,Matthew McConaughey,Kate Hudson,159174447.76410955
275547,/m/01p8m2,selena,1997-03-21,35450113.0,128.0,['English'],['United States of America'],"['Biographical film', 'Biography', 'Drama', 'Musical Drama', 'Biopic [feature]']",tt0120094,6.9,32324.0,Jennifer Lopez,Edward James Olmos,64509753.943091735
28042876,/m/0cmf0m0,puss in boots,2011-10-27,554709226.0,90.0,['English'],['United States of America'],"['Comedy', 'Fantasy', 'Adventure', 'Animation']",tt0448694,6.6,197031.0,Antonio Banderas,Salma Hayek,759887778.3703897
3176181,/m/08x7tc,quid pro quo,2008-06-13,11864.0,82.0,['English'],['United States of America'],"['Thriller', 'Romantic drama', 'Drama', 'Indie']",tt0414426,6.1,2623.0,Nick Stahl,Vera Farmiga,16977.685646881575
163462,/m/015qtl,harry and tonto,1974-08-12,4600000.0,115.0,['English'],['United States of America'],"['Road movie', 'Americana', 'Comedy-drama', 'Drama', 'Comedy', 'New Hollywood']",tt0071598,7.3,6379.0,Art Carney,Ellen Burstyn,28719171.894200455
12585204,/m/02wwtk_,just between friends,1986-03-21,6408791.0,110.0,['English'],['United States of America'],"['Romantic drama', 'Romance Film', 'Melodrama', 'Drama']",tt0091310,5.9,1069.0,Mary Tyler Moore,Ted Danson,17401872.95721352
43307,/m/0bw20,k-19: the widowmaker,2002-07-19,65716126.0,138.0,"['Russian', 'English']","['United States of America', 'Canada', 'United Kingdom', 'Germany']","['Thriller', 'Action Thrillers', 'History', 'Action/Adventure', 'Period piece', 'Drama', 'Suspense', 'War film', 'Action', 'Political drama']",tt0267626,6.7,68591.0,Harrison Ford,Sam Spruell,106421913.96083222
366111,/m/01__75,shallow hal,2001-11-01,141069860.0,113.0,['English'],"['United States of America', 'Germany']","['Romantic comedy', 'Fantasy', 'Comedy', 'Drama', 'Romance Film', 'Fantasy Comedy', 'Comedy of Errors']",tt0256380,6.0,147528.0,Jack Black,Gwyneth Paltrow,233933976.74518925
4788925,/m/0cndck,bee season,2005-09-03,6856989.0,104.0,"['Hebrew', 'English']",['United States of America'],"['Drama', 'Family Drama', 'Coming of age', 'Film adaptation']",tt0387059,5.5,7290.0,Richard Gere,Juliette Binoche,10525819.919431902
770083,/m/03b19k,sweet dreams,1985-10-02,9085049.0,115.0,['English'],['United States of America'],"['Biography', 'Musical', 'Drama', 'Romantic drama', 'Biographical film', 'Romance Film']",tt0090110,7.0,5535.0,Jessica Lange,Ed Harris,25655500.89687464
8850105,/m/027lz0c,because i said so,2007-02-02,69485490.0,98.0,"['Standard Mandarin', 'English']",['United States of America'],"['Romantic comedy', 'Romance Film', 'Drama', 'Domestic Comedy', 'Comedy']",tt0490084,5.6,40658.0,Diane Keaton,Mandy Moore,101722519.45238052
2651593,/m/07vfy4,water,2005-09-08,10422387.0,114.0,"['Hindi', 'English']","['Canada', 'India']","['Romantic drama', 'Romance Film', 'Drama', 'Art film', 'World cinema']",tt0240200,7.7,15479.0,Lisa Ray,John Abraham,15998883.5759585
2100492,/m/06m4p7,medicine man,1992-02-07,45500797.0,104.0,['English'],['United States of America'],"['Adventure', 'Jungle Film', 'Action/Adventure', 'Drama', 'Romantic drama', 'Romance Film']",tt0104839,6.0,25130.0,Sean Connery,Lorraine Bracco,95241850.8526515
23734853,/m/06_vlp9,somewhere,2010-09-03,13936909.0,97.0,"['Italian', 'English']",['United States of America'],"['Drama', 'Black comedy', 'Comedy-drama', 'Comedy', 'Indie']",tt1421051,6.3,47287.0,Stephen Dorff,Elle Fanning,19416524.168746047
113454,/m/0sxlb,prizzi's honor,1985-06-14,26657534.0,130.0,['English'],['United States of America'],"['Romantic comedy', 'Crime Fiction', 'Crime Comedy', 'Gangster Film', 'Action/Adventure', 'Drama', 'Comedy', 'Film adaptation', 'Black comedy', 'Romance Film', 'Action']",tt0089841,6.7,27037.0,Jack Nicholson,Kathleen Turner,75278888.14308721
5955514,/m/0fghvz,fled,1996-07-19,17193231.0,98.0,['English'],['United States of America'],"['Thriller', 'Crime Fiction', 'Buddy film', 'Chase Movie', 'Action/Adventure', 'Comedy', 'Action Thrillers', 'Action']",tt0116320,5.4,9992.0,Laurence Fishburne,Stephen Baldwin,32037986.66954486
5274269,/m/0db_xm,hulchul,2004-11-26,82436.0,142.0,['Hindi'],['India'],"['Romantic comedy', 'World cinema', 'Musical', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film', 'Bollywood']",tt0437238,7.0,9551.0,Akshaye Khanna,Kareena Kapoor,129327.3233598028
186856,/m/019k65,the omen,1976-06-25,60922980.0,111.0,"['Italian', 'Latin', 'English']","['United States of America', 'United Kingdom']","['Demonic child', 'Horror', 'Supernatural', 'Psychological thriller', 'Cult', 'Mystery']",tt0075005,7.5,138832.0,Gregory Peck,Lee Remick,327356419.0838132
4515396,/m/0c6lk5,stormbreaker,2006-07-21,23937870.0,95.0,['English'],"['United States of America', 'United Kingdom', 'Germany']","['Thriller', 'Family Film', 'Action', 'Adventure', 'Spy']",tt0457495,5.1,25862.0,Alex Pettyfer,Mickey Rourke,35849584.09299837
1380313,/m/04y1y1,my blue heaven,1990-08-17,23591472.0,95.0,['English'],['United States of America'],['Comedy'],tt0100212,6.2,22891.0,Steve Martin,Rick Moranis,53717786.27170767
27850628,/m/0cc6q5d,lafangey parindey,2010-08-20,5000000.0,125.0,['Hindi'],['India'],"['Romantic drama', 'Romance Film', 'Drama', 'World cinema']",tt1606267,5.2,2337.0,Neil Nitin Mukesh,Deepika Padukone,6965864.586166863
6446044,/m/0g5pv3,for your eyes only,1981-06-24,195300000.0,127.0,"['Greek', 'Italian', 'English']",['United Kingdom'],"['Thriller', 'Action/Adventure', 'Glamorized Spy Film', 'Action', 'Spy']",tt0082398,6.7,110247.0,Roger Moore,Carole Bouquet,674631624.5620668
365039,/m/01_wsl,six days seven nights,1998-06-12,164839294.0,102.0,"['German', 'English']",['United States of America'],"['Romantic comedy', 'Adventure', 'Action/Adventure', 'Comedy', 'Romance Film', 'Action']",tt0120828,5.9,84630.0,Harrison Ford,Anne Heche,293219516.7069958
28763446,/m/0ddg_bs,colombiana,2011-07-27,60965854.0,107.0,"['English', 'Spanish']","['France', 'United States of America']","['Action/Adventure', 'Thriller', 'Action', 'Drama']",tt1657507,6.4,109629.0,Zoe Saldana,Michael Vartan,83516201.24759477
11448113,/m/06x8g2,friday after next,2002-11-22,33526835.0,88.0,['English'],['United States of America'],"['Buddy film', 'Comedy']",tt0293815,5.8,30770.0,Ice Cube,Mike Epps,54293978.76784488
4515733,/m/0c6m5_,extreme prejudice,1987-04-24,11307844.0,104.0,['English'],['United States of America'],"['Thriller', 'Crime Fiction', 'Action Thrillers', 'Action/Adventure', 'Western', 'Drama', 'Action']",tt0092997,6.6,9077.0,Nick Nolte,Powers Boothe,29495038.25956329
31972917,/m/0gvrx5s,creature,2011-09-09,533235.0,93.0,['English'],['United States of America'],['Horror'],tt1686018,3.6,3115.0,Mehcad Brooks,Serinda Swan,730470.560984206
2795282,/m/0834qx,runaway,1984-12-14,6770587.0,100.0,['English'],['United States of America'],"['Thriller', 'Crime Fiction', 'Science Fiction', 'Action', 'Film adaptation']",tt0088024,5.9,14889.0,Tom Selleck,Cynthia Rhodes,19941777.010498796
944471,/m/03s44q,newsies,1992-04-10,2819485.0,121.0,['English'],['United States of America'],"['Family Drama', 'Musical', 'Period piece', 'Drama', 'Family Film', 'Musical Drama']",tt0104990,6.9,22998.0,Christian Bale,Bill Pullman,5901720.135831646
7771844,/m/0kvgyb,"suddenly, last summer",1959-12-22,6375000.0,113.0,['English'],['United States of America'],"['Thriller', 'Mystery', 'Drama']",tt0053318,7.5,17819.0,Elizabeth Taylor,Katharine Hepburn,65071185.5866283
971217,/m/03vhs5,twisted,2004-02-27,40954603.0,97.0,['English'],"['United States of America', 'Germany']","['Thriller', 'Crime Thriller', 'Crime Fiction', 'Psychological thriller', 'Mystery']",tt0315297,5.3,23543.0,Ashley Judd,Samuel L. Jackson,64250438.94965003
2043990,/m/06h5k7,spy hard,1996-05-24,26960191.0,95.0,['English'],['United States of America'],"['Parody', 'Crime Fiction', 'Action/Adventure', 'Comedy', 'Action', 'Spy']",tt0117723,5.3,41035.0,Leslie Nielsen,Nicollette Sheridan,50237808.11566966
